car_km_per_year,public_transport_km_per_year,flights_per_year,electricity_kwh_per_year,natural_gas_m3_per_year,renewable_energy_percentage,diet_type,meat_kg_per_year,waste_kg_per_year,recycling_rate,house_size_m2,num_people_household,carbon_footprint_kgCO2_per_year
1267,5656,6,4410,1102,2,vegetarian,94,303,61,175,1,7882.8060000000005
17912,8984,1,3721,597,79,vegetarian,10,211,1,23,2,6377.307000000001
11394,4259,0,4627,1659,65,non_vegetarian,85,424,79,74,3,9074.747000000001
3556,8286,5,2532,1685,94,non_vegetarian,81,357,18,34,2,8535.392
3890,5901,8,1237,2605,91,vegan,98,627,97,83,5,8901.773000000001
8838,9325,2,2996,2160,70,non_vegetarian,5,449,48,131,1,8058.514
14502,4917,5,4427,2188,93,non_vegetarian,66,777,77,163,3,11030.873
10627,8429,2,1277,1924,42,vegetarian,61,912,87,137,2,8302.088
8792,2530,0,4089,729,61,non_vegetarian,4,993,27,39,3,5553.057000000001
10555,1960,4,1523,588,70,non_vegetarian,8,534,47,83,4,5338.8859999999995
10253,7045,9,5275,2458,99,vegan,27,525,95,52,1,9788.275
8433,1048,3,5218,376,92,non_vegetarian,82,379,36,100,5,6100.3279999999995
10233,5772,6,4122,1407,23,vegetarian,91,470,73,145,4,9693.09
11016,2529,5,5575,1869,38,vegetarian,90,769,48,88,3,10980.684
2612,2964,9,2797,750,67,non_vegetarian,76,348,47,186,2,7266.097
15787,7137,6,3131,626,92,vegan,37,990,72,183,1,7090.25
17159,963,4,1815,1629,43,vegan,42,280,87,113,5,8547.545
12206,536,3,3694,994,4,vegetarian,20,802,99,87,2,7263.5560000000005
8226,7340,6,1442,1583,54,non_vegetarian,90,750,28,106,5,10411.86
14541,7179,6,4140,702,92,non_vegetarian,61,177,59,40,1,8114.376
3152,7967,5,1142,2509,29,non_vegetarian,45,984,28,82,3,10192.423999999999
1585,8734,7,5287,2059,28,non_vegetarian,69,435,57,104,5,10724.710000000001
3943,845,3,2410,1179,25,vegan,37,149,47,153,1,5184.546
19457,5777,9,5473,476,82,vegetarian,48,184,22,43,5,8781.155999999999
1021,3036,4,1534,2986,25,non_vegetarian,74,794,26,130,2,10958.858
11653,5947,3,2716,400,36,non_vegetarian,80,794,94,114,5,7292.822
10805,2494,0,4364,2855,90,vegetarian,38,103,6,102,2,8901.176
13417,2719,7,2032,2224,93,vegetarian,70,416,48,121,2,10422.846000000001
7989,1884,0,4342,56,52,non_vegetarian,29,210,53,97,1,3806.74
9692,4349,4,2410,1875,29,non_vegetarian,20,433,67,197,4,8558.601999999999
12990,5179,5,5500,447,2,non_vegetarian,0,950,77,143,5,8089.25
6873,6610,5,2172,202,42,vegetarian,88,862,41,159,3,6092.424000000001
5675,6430,4,1888,1656,6,non_vegetarian,31,232,73,139,2,7605.612
161,7154,2,4338,737,48,non_vegetarian,7,711,58,34,4,4218.296
4297,6488,4,5517,201,72,non_vegetarian,68,783,43,102,2,5997.5380000000005
995,4737,7,2641,1353,40,non_vegetarian,29,898,97,187,4,6515.642
11534,6525,1,1471,2410,76,non_vegetarian,7,218,25,188,4,8362.869999999999
7629,3850,5,3940,891,78,non_vegetarian,18,449,22,25,3,6300.0960000000005
1016,689,8,1546,2501,53,non_vegetarian,58,786,72,86,4,9565.104
8529,5175,7,5726,2403,68,non_vegetarian,54,641,7,180,3,11967.743999999999
17262,8648,7,4597,215,92,non_vegetarian,29,154,52,190,1,7164.736
9268,5078,7,3825,2602,98,vegan,78,460,13,141,2,10241.310000000001
12185,5448,6,4723,2934,90,non_vegetarian,35,807,70,168,3,11694.33
6331,1179,7,1363,22,26,non_vegetarian,54,552,6,103,2,6015.4439999999995
8571,9074,5,3166,2202,7,non_vegetarian,43,652,8,130,5,11534.802
7208,6406,1,4309,1209,31,vegan,26,784,2,164,1,7439.880999999999
5276,8591,1,1545,2296,83,non_vegetarian,76,429,77,155,5,8687.681
18446,6907,7,4240,748,63,vegan,77,318,16,83,5,8961.566
16448,8800,0,5729,804,9,non_vegetarian,53,307,43,145,4,9690.277
16216,1638,5,2936,133,12,non_vegetarian,47,769,85,47,4,7609.570000000001
8006,5671,5,1962,320,62,vegetarian,29,944,45,117,5,5473.590000000001
2568,6928,3,4005,2437,92,non_vegetarian,38,839,89,160,4,7836.322
2027,1382,9,4806,433,34,vegetarian,12,184,57,32,2,5480.896
2695,1403,2,1882,1045,60,vegetarian,15,784,27,185,4,4808.226000000001
15422,9011,2,4840,872,53,non_vegetarian,43,344,13,172,5,8616.054
5258,3292,0,1870,2905,7,vegetarian,70,971,8,170,4,10448.726
6736,9011,2,5611,2098,28,vegan,26,784,25,105,4,9712.509999999998
391,419,3,3985,2223,94,vegetarian,44,434,1,40,3,6782.088
13986,4517,4,1865,2917,40,vegetarian,34,311,74,82,3,11021.098
12666,3302,2,5309,252,29,non_vegetarian,78,695,80,177,5,7943.195
5892,7857,5,4203,965,85,vegan,27,784,33,130,2,6157.779
3561,9700,4,3897,738,20,non_vegetarian,98,282,18,95,1,8294.232
6184,7870,2,3244,1129,75,vegan,6,232,38,92,1,5085.112
19483,5693,5,1018,1339,10,vegetarian,61,991,81,179,5,9729.772
8392,767,5,1641,301,1,vegan,50,899,12,171,2,6075.061
13067,2044,7,4083,2595,49,non_vegetarian,45,873,4,26,2,13420.309
15265,1549,1,1329,1977,40,non_vegetarian,19,449,49,91,2,8658.332
19488,9956,0,1865,2763,65,non_vegetarian,95,381,22,148,3,13347.699000000002
2454,6140,3,1773,2826,97,non_vegetarian,37,392,87,150,5,8317.123
11837,3716,6,5487,2315,2,vegan,60,368,28,123,1,12172.758
14039,4481,9,5732,550,79,non_vegetarian,31,960,71,47,2,8321.83
19115,7898,2,3354,1478,50,non_vegetarian,25,296,25,62,5,9587.0
10965,6548,2,4338,1315,67,vegan,57,636,78,116,1,6925.826
9762,2293,4,4518,1587,86,vegetarian,38,752,56,65,3,7665.894
5056,4837,4,3942,1822,83,non_vegetarian,19,834,0,20,4,8246.320000000002
14948,7758,9,3567,1824,24,vegan,81,119,27,185,1,11224.725999999999
8110,6793,2,2674,1164,29,non_vegetarian,49,858,61,121,1,7664.236
13773,7638,8,3683,313,81,vegan,78,939,46,54,1,7446.293
17412,7993,3,4380,183,10,vegetarian,51,812,77,73,4,7993.718
502,6007,2,1739,1687,92,non_vegetarian,85,504,97,43,2,6666.526
6910,5542,1,2545,712,16,non_vegetarian,21,214,58,175,4,5130.784
12685,9092,9,5564,2175,25,vegetarian,52,994,30,41,1,13632.54
206,6356,8,3259,1310,22,non_vegetarian,84,800,69,35,3,8964.41
17868,8433,3,2135,2747,55,vegan,65,125,48,32,1,11187.625
15934,7380,2,1873,2433,51,vegan,42,665,4,119,3,10756.605
17247,2385,6,5555,270,47,non_vegetarian,81,781,30,119,5,10251.784999999998
19174,4268,7,3300,1794,19,non_vegetarian,22,494,36,81,3,11885.788
8755,671,1,1751,810,1,vegetarian,76,480,78,190,1,5737.375
12383,163,6,1853,2462,87,vegan,63,622,14,106,4,10332.251
18141,8656,4,4732,197,30,non_vegetarian,8,638,51,97,1,7889.916
14820,4592,4,3283,1079,26,vegetarian,6,961,68,179,1,8200.846
7574,4795,2,2329,2878,1,non_vegetarian,40,182,91,86,5,10272.889000000001
6374,4798,4,1477,1226,77,non_vegetarian,53,901,96,110,2,6632.427000000001
1678,6036,1,3726,1644,3,vegan,64,649,10,196,1,7379.490000000001
19626,2355,3,4091,627,12,non_vegetarian,1,544,42,52,5,8441.926000000001
1059,5887,5,5230,603,99,non_vegetarian,3,186,69,134,4,3173.088
16198,7961,0,5505,1161,34,vegan,77,932,22,38,5,9500.628
9914,5827,9,2269,1445,71,vegan,31,486,39,183,5,8444.182999999999
19541,8737,3,5181,1080,65,vegetarian,99,767,62,143,3,10022.853000000001
10817,4719,5,3603,1585,5,non_vegetarian,1,497,1,162,2,9443.429
10921,593,8,2469,2118,30,non_vegetarian,63,919,78,139,2,11378.923999999999
9789,4839,1,1377,910,9,vegan,13,385,86,116,4,5063.505
16312,7394,6,2680,593,20,vegan,19,797,85,43,5,7707.890000000001
11252,9651,5,1241,1395,73,vegan,88,793,72,46,4,7815.357000000001
2693,3493,1,1919,599,22,non_vegetarian,48,468,46,196,4,4660.556
13931,6164,7,1069,513,2,vegetarian,7,754,29,94,2,7452.322000000001
3627,2672,6,4924,1895,31,non_vegetarian,91,521,15,42,2,11101.909999999998
16157,4200,4,3086,2131,19,vegetarian,62,817,58,180,2,11407.882
10173,16,4,3007,1066,73,non_vegetarian,45,753,46,60,1,7520.261
18047,3191,6,1800,2886,28,non_vegetarian,20,796,29,75,5,13246.238000000001
10230,392,8,3779,1957,51,non_vegetarian,86,542,8,176,4,12125.007
15707,8616,8,5920,2653,45,vegetarian,31,852,64,178,5,13476.796
11494,6272,8,1755,809,33,non_vegetarian,7,619,58,117,4,7475.289
1306,571,5,2995,2180,83,vegetarian,94,683,63,165,4,7878.2029999999995
6776,3631,9,2321,1088,60,vegetarian,15,387,7,25,4,7277.288
9474,6172,5,3330,289,71,non_vegetarian,39,194,51,199,4,5738.358
7526,9312,2,1109,2423,70,non_vegetarian,26,768,17,59,3,9332.542
5530,7177,0,2016,768,69,vegetarian,17,140,90,61,3,3568.0299999999997
3748,8433,6,4865,2514,10,vegetarian,34,430,81,51,1,10494.56
13545,3897,3,1024,470,81,non_vegetarian,51,912,95,29,2,6150.21
663,8123,0,5938,2196,92,non_vegetarian,14,880,57,88,4,6227.389999999999
1998,2279,7,3838,87,88,vegetarian,62,254,48,28,5,3742.5740000000005
7994,8980,5,1737,2443,62,non_vegetarian,52,603,31,88,3,10666.756
17879,7451,5,1179,789,20,vegan,90,374,47,158,2,8090.746000000001
3304,8906,1,1231,1664,2,non_vegetarian,80,765,44,118,1,8218.41
18237,775,0,2917,1309,81,non_vegetarian,65,664,53,93,2,8898.009
13808,6869,1,1342,864,87,vegetarian,30,278,99,122,4,5580.284000000001
6585,2247,3,5572,1293,9,non_vegetarian,60,851,99,142,2,8935.928
17675,7088,1,3623,23,26,vegan,63,236,84,121,4,5934.0779999999995
19965,78,0,1454,1886,11,non_vegetarian,97,866,45,27,3,11892.27
11649,8080,6,5384,310,6,non_vegetarian,33,835,95,196,3,8350.43
1636,7099,7,5625,1484,16,non_vegetarian,54,279,30,171,4,9572.189999999999
17082,3926,5,3276,1231,64,vegetarian,58,281,36,180,5,9021.092
4737,9047,3,1595,2711,63,vegetarian,2,358,15,38,3,8441.565
14555,7340,5,4874,2485,25,vegetarian,16,342,45,21,5,11880.33
13877,7083,2,5530,705,14,non_vegetarian,77,195,45,74,4,9689.5
854,6230,7,5977,1359,32,non_vegetarian,77,296,77,158,4,9184.024
5855,9223,9,5497,421,61,non_vegetarian,45,625,87,36,3,7157.3150000000005
7392,4940,1,3669,1773,46,vegetarian,37,731,88,189,5,7169.426
13949,3271,4,3135,2368,94,non_vegetarian,34,486,60,80,4,10051.320000000002
18091,3456,0,4964,2634,34,non_vegetarian,0,507,45,150,3,11199.050000000001
5791,7788,5,2565,946,64,non_vegetarian,28,368,50,105,4,6238.5
4931,8599,1,1308,1186,71,vegan,3,270,61,54,2,4433.55
19894,7650,3,1342,1834,75,vegetarian,60,683,34,122,2,10568.454
202,2711,5,1435,1564,82,non_vegetarian,96,790,80,85,3,7559.5
11447,1668,9,1176,848,24,non_vegetarian,16,269,41,20,4,7483.358
12688,147,7,1138,1589,56,vegetarian,27,258,44,154,3,8347.874
4389,6420,7,1193,1318,31,non_vegetarian,49,608,67,167,1,7680.537
2327,365,5,4257,2089,62,vegetarian,89,546,74,190,3,8177.508
8004,9866,3,4235,1947,11,non_vegetarian,7,765,46,138,3,9555.255
19315,4531,7,1942,1308,62,non_vegetarian,33,181,78,153,2,9787.206
7777,5330,7,5620,2986,76,vegetarian,58,156,29,74,2,11200.668
197,5510,9,4879,386,91,non_vegetarian,17,618,23,119,4,4872.003
1930,8754,0,4113,2035,0,vegan,94,211,65,40,3,7590.7300000000005
11774,8964,3,3962,1161,50,vegetarian,58,147,42,70,3,7801.968
15087,6493,3,5836,2025,69,non_vegetarian,26,691,33,193,4,10581.976
9339,5439,6,5957,2957,7,vegetarian,15,986,22,182,5,13910.598999999998
11589,9765,6,1953,715,67,vegan,9,475,60,119,4,6448.895
18895,6511,7,2302,2478,4,vegetarian,75,927,94,27,2,13028.126
15708,7504,4,4381,2601,88,vegetarian,21,132,36,87,2,10417.224
17043,1246,6,3880,2847,85,vegetarian,15,603,12,126,3,12113.552000000001
2811,3839,7,3187,425,91,vegetarian,11,726,96,163,2,3698.337
14243,8551,8,5887,1439,38,non_vegetarian,74,995,70,86,4,12514.42
6546,2376,2,1545,2073,22,vegetarian,83,102,95,21,3,7806.2300000000005
1986,3009,2,2927,384,67,non_vegetarian,50,585,6,20,4,4638.425
8338,9154,3,5152,55,51,vegetarian,0,615,41,20,4,4900.67
11411,1827,4,1004,2681,3,vegetarian,26,967,37,121,3,10670.068
2911,6979,9,4481,105,46,vegan,66,871,51,134,5,5725.642
1734,9805,0,4253,2896,20,non_vegetarian,11,141,43,154,2,8771.916
18227,9832,6,2362,669,55,non_vegetarian,29,108,63,107,1,8361.378
8680,8569,8,2820,375,65,non_vegetarian,8,918,12,111,1,7078.062
19360,4285,7,3663,742,58,vegetarian,52,756,87,37,1,8968.384
18343,6910,4,3938,966,6,non_vegetarian,60,708,27,107,2,11347.271999999999
5759,8561,3,2273,307,48,vegetarian,53,887,95,179,5,4330.16
2385,2196,6,4326,2138,15,vegetarian,36,241,81,192,4,8769.772
11111,3747,4,4659,801,16,non_vegetarian,64,889,97,52,3,8744.336
4736,8843,6,3945,109,83,vegan,41,535,97,92,5,3692.9650000000006
1802,5978,0,4018,1664,86,non_vegetarian,48,126,0,196,1,5791.360000000001
8155,5607,0,2131,2632,97,vegetarian,3,142,42,180,2,7396.062999999999
8120,769,9,5763,339,74,non_vegetarian,63,230,41,47,2,7284.9
6616,780,2,3636,1588,33,non_vegetarian,78,315,94,106,3,8396.28
14257,9908,1,4029,978,32,non_vegetarian,50,705,49,72,4,8919.85
14486,6303,1,4019,2403,25,vegetarian,90,619,59,63,5,11447.297
16646,3983,6,5377,1915,65,vegetarian,71,697,0,99,5,12012.425000000001
14075,9503,9,4159,167,62,non_vegetarian,59,444,50,157,5,8656.960000000001
9208,8714,1,1253,556,86,vegan,86,607,15,33,4,5120.12
16371,521,3,1328,904,40,non_vegetarian,78,749,38,122,4,9198.534000000001
11835,9127,1,3591,104,85,non_vegetarian,90,980,14,55,4,7497.715
13168,7569,5,3830,2047,57,vegetarian,30,512,32,53,3,10211.188
2049,5784,7,4044,2197,97,non_vegetarian,71,345,86,107,2,8907.6
5423,4583,9,2420,145,78,non_vegetarian,93,548,52,165,1,7104.422
14589,5946,3,4401,2763,9,vegetarian,57,120,97,35,4,12269.535
19492,4941,4,3892,873,14,vegetarian,81,507,16,184,2,10425.094000000001
7158,6267,3,1654,298,41,vegan,3,556,88,60,4,3715.176
10248,7128,2,1759,1736,92,vegan,21,543,5,44,1,7490.29
7400,2461,4,2798,645,56,non_vegetarian,2,364,30,145,4,5021.250000000001
19554,685,8,3971,2770,86,vegetarian,78,759,68,27,2,13253.204
9874,2160,7,5511,637,16,non_vegetarian,98,283,39,131,3,10378.154
15151,7031,7,4426,2286,59,vegetarian,46,326,29,113,1,11648.708
18639,9759,7,1254,2511,8,non_vegetarian,37,903,68,103,2,13083.718
1154,5341,7,4823,2500,35,non_vegetarian,32,647,75,165,5,9970.475
4499,38,6,2876,783,72,vegetarian,77,345,6,87,5,5993.58
6295,4875,7,3757,896,79,vegetarian,47,172,12,195,5,6346.183000000001
12183,1256,7,3624,370,35,non_vegetarian,64,249,3,86,3,8329.954
12874,7697,7,5995,486,47,non_vegetarian,25,612,49,165,4,8507.141
18032,2196,9,5121,2037,50,vegetarian,7,168,2,130,4,11711.302000000001
5539,7165,6,4004,2212,96,vegan,49,904,11,37,4,9182.938
9637,301,0,5516,1360,94,vegan,79,329,64,75,3,5467.722000000001
15586,7527,3,4734,191,69,vegetarian,37,822,26,170,5,6953.724
2557,6381,3,2244,729,73,non_vegetarian,9,171,49,54,4,3741.3680000000004
5592,646,4,2008,2261,79,non_vegetarian,41,974,76,153,3,8411.307999999999
16482,9951,9,5314,2621,67,vegan,36,707,16,137,3,13426.144
2200,8789,5,2510,956,21,non_vegetarian,25,496,71,45,2,5966.812
14172,8853,3,2959,380,76,vegetarian,91,183,31,80,4,6597.916
2961,4330,1,3508,2720,79,non_vegetarian,11,839,83,107,5,7420.774
14207,9560,5,5758,797,92,vegan,83,398,50,34,1,7200.119999999999
11969,7003,7,3682,238,5,vegan,48,847,16,110,3,8258.764000000001
2869,3537,7,1989,2747,25,vegan,13,392,33,51,2,9283.477
17340,4558,6,5284,1105,74,vegetarian,45,833,34,159,1,9689.923999999999
13992,6579,5,1254,1386,87,non_vegetarian,34,322,98,152,3,8160.452
5699,8474,1,5163,2552,92,non_vegetarian,28,892,23,83,2,9116.332
3987,9678,6,5711,2249,2,vegetarian,11,832,53,105,4,10930.062
13446,4082,4,5969,2967,51,non_vegetarian,81,315,17,174,2,13947.315
1218,4183,5,5452,1527,73,vegan,43,330,49,64,3,6027.91
4735,8652,9,1255,1667,59,non_vegetarian,65,504,45,54,4,9474.835000000001
11296,3754,7,2007,36,62,vegetarian,1,268,47,45,5,4919.402
4555,1724,7,2755,2691,64,vegetarian,58,428,32,42,2,9931.972
9146,1376,2,3571,1996,51,vegan,16,525,86,160,1,7483.595
8050,8706,6,4908,1425,89,non_vegetarian,9,653,88,150,4,7049.288
12757,8894,0,3997,2812,75,non_vegetarian,17,869,26,48,4,10736.233
19830,1653,0,3803,2753,13,vegan,21,295,0,83,5,11853.355
17429,2066,6,4765,2592,88,vegetarian,82,707,84,175,2,11869.616
6893,22,9,5379,1490,71,vegan,57,928,58,183,1,8399.023
18077,2460,8,4383,1224,67,non_vegetarian,52,625,9,132,5,11337.345
14373,5926,6,1098,2587,27,non_vegetarian,0,724,94,153,2,10323.862000000001
14565,6251,9,1196,2022,70,vegetarian,87,176,24,158,1,11114.218
3436,9496,4,3529,2441,9,vegetarian,60,376,83,185,1,9574.751
8754,7295,7,1877,832,56,non_vegetarian,99,565,56,137,3,9062.97
10677,3300,1,2868,596,99,vegetarian,88,547,65,181,1,5289.349999999999
5895,6279,8,3665,2440,65,vegetarian,99,419,14,86,2,10999.437000000002
19738,8553,5,2388,699,89,vegetarian,30,259,27,127,5,7899.916
16609,7353,8,3415,1646,49,vegan,30,591,12,193,5,10950.419000000002
15636,3727,1,1569,2018,13,non_vegetarian,65,412,13,105,3,10682.257000000001
7022,6272,2,3637,440,15,non_vegetarian,18,730,65,48,2,5589.625
9151,5995,7,2065,1860,53,vegetarian,52,260,33,79,1,9100.784999999998
5600,9476,0,1421,1640,42,non_vegetarian,75,407,98,73,3,7325.5419999999995
7996,514,9,3883,1529,41,vegetarian,73,962,24,112,4,10379.901
9007,448,6,2204,2965,80,non_vegetarian,94,245,53,88,2,12219.470000000001
12946,6019,6,1544,2367,21,non_vegetarian,21,774,78,136,3,10607.534
4642,5343,0,5166,2600,67,non_vegetarian,22,495,11,28,5,8634.93
11312,8033,8,4639,1094,18,vegetarian,86,790,8,145,3,11223.28
7679,2520,7,2223,567,65,vegetarian,14,188,30,96,4,5360.705000000001
8208,3081,3,4172,2966,38,vegan,25,834,77,29,2,10251.246000000001
18589,1428,9,1767,235,72,non_vegetarian,2,877,92,121,3,6936.868
10716,3967,4,4657,1304,18,vegetarian,86,850,52,77,1,9754.32
17453,6445,1,1654,1185,15,non_vegetarian,19,407,42,132,2,8073.7080000000005
3444,9114,8,3446,1032,53,non_vegetarian,39,645,37,199,3,7802.74
10757,2159,5,1220,2107,24,non_vegetarian,38,470,41,181,3,9712.09
14434,5132,2,4666,2940,17,non_vegetarian,71,550,71,125,2,13663.890000000001
1060,2547,6,5277,1840,22,vegetarian,17,266,47,54,5,8060.644
18711,2979,8,5402,224,84,vegetarian,40,491,66,122,1,7611.802
3420,2649,2,3569,1842,10,vegetarian,69,736,65,122,2,8001.68
301,8505,1,2013,2747,38,non_vegetarian,26,835,15,180,1,8833.029999999999
12468,3083,6,3051,581,67,vegetarian,99,590,82,179,1,7340.825
16990,1037,6,4985,168,24,non_vegetarian,14,249,93,116,2,7589.524
19554,3489,3,5943,1465,62,vegetarian,36,567,15,155,3,10247.93
699,7604,8,5899,13,95,vegan,57,800,30,193,5,4009.2750000000005
190,7544,7,5310,2211,29,non_vegetarian,4,142,57,161,1,8690.158
10492,2634,0,4019,1443,44,vegetarian,72,128,27,155,1,7381.612
17364,3983,0,4681,2804,89,vegetarian,6,973,3,125,3,11317.263
2975,1778,4,2443,1870,60,non_vegetarian,40,731,9,90,2,8189.878
6102,7902,5,5196,1543,99,vegetarian,83,948,50,96,5,7951.179999999999
17568,5110,2,4010,1689,50,vegetarian,9,130,17,73,1,8965.32
19711,5189,8,1572,1571,97,vegetarian,61,792,46,40,1,10960.554
19778,7378,9,2332,1051,8,vegan,25,773,31,130,2,10844.286000000002
1816,1124,5,5753,1731,75,non_vegetarian,67,227,29,94,3,7949.630999999999
569,697,3,5002,445,1,non_vegetarian,23,866,35,33,4,5898.86
5442,2179,6,4134,715,4,vegetarian,77,393,8,21,3,7801.978
1895,9596,7,5086,818,61,vegan,40,540,35,127,1,6084.37
19117,5251,8,1225,2151,68,vegan,64,968,28,164,1,12184.078000000001
3863,9235,5,5200,2789,51,non_vegetarian,16,487,15,97,5,10513.460000000001
12913,1929,5,2997,425,85,vegetarian,23,865,91,67,3,5454.455
7455,1013,7,1771,1124,4,vegan,26,741,20,110,4,7597.169999999999
4014,226,4,5524,1564,58,non_vegetarian,6,623,63,155,5,6679.058
11093,7321,2,1433,2686,67,non_vegetarian,72,646,65,36,4,11044.075
18070,1828,2,4099,849,8,vegetarian,98,809,58,31,5,9723.543999999998
3009,7909,5,3729,1545,92,vegetarian,11,859,98,185,3,5665.834
16538,5588,1,4407,1129,21,vegetarian,84,209,27,165,1,9244.391
10729,2023,5,4140,1702,26,vegetarian,2,427,54,45,4,8813.306
1409,4966,5,1865,2001,9,non_vegetarian,78,504,99,56,3,8745.747
12249,5891,7,3793,2816,79,non_vegetarian,84,344,30,89,4,13226.055000000002
784,1080,6,3911,276,60,non_vegetarian,9,861,32,188,3,4341.864
8096,5036,7,3415,1806,50,vegetarian,32,977,86,98,5,8764.954
7560,2563,8,1250,2947,9,vegetarian,45,928,59,189,3,11395.264
12533,3292,5,5951,2235,5,vegetarian,58,262,40,109,5,12283.884999999998
7343,3586,2,4757,1939,61,vegetarian,51,659,80,60,1,7879.255
7206,4431,9,5656,2152,4,non_vegetarian,5,498,45,194,5,11559.650000000001
5801,6841,2,1918,545,69,vegetarian,1,682,48,161,2,4041.392
19190,6643,0,2173,2427,62,vegetarian,28,498,64,148,1,10137.724
16921,3959,4,4203,109,55,vegan,39,592,41,36,3,6585.129000000001
5986,161,3,1432,544,58,vegan,96,745,22,72,3,4908.35
18225,593,8,1835,2401,62,vegan,60,338,26,137,2,11599.516
10647,3390,8,3246,742,88,non_vegetarian,67,564,88,128,3,7908.4839999999995
8716,5997,4,3262,2364,58,vegetarian,67,679,31,178,1,10203.887999999999
19334,6354,9,1897,1289,50,non_vegetarian,28,889,82,155,1,10530.786
12323,663,3,4632,1875,49,vegan,61,131,87,177,5,8538.964000000002
4780,9324,6,5567,1088,3,vegan,59,222,2,96,4,8508.403
2368,541,5,4815,332,47,non_vegetarian,83,633,59,99,3,6398.779
12039,5433,3,1246,1536,31,vegetarian,40,766,75,64,2,7816.0199999999995
6655,5093,9,3429,1156,50,non_vegetarian,86,209,98,37,1,9334.423999999999
8173,867,1,1990,591,51,vegetarian,81,370,78,118,1,4837.52
4495,8623,0,4310,782,98,non_vegetarian,88,479,16,192,1,6037.498
10893,5469,3,1926,539,73,non_vegetarian,64,399,31,166,4,6763.6179999999995
13403,6256,3,4438,2782,33,non_vegetarian,63,726,6,87,4,13723.522
13121,9398,0,3607,1558,35,non_vegetarian,78,831,82,102,3,9757.619
10966,1169,5,2074,1519,69,non_vegetarian,62,841,70,69,2,8989.259999999998
853,830,3,5022,2668,42,vegetarian,97,863,68,44,4,9561.068
16958,1651,0,4799,618,15,non_vegetarian,47,348,57,185,5,8288.077000000001
17532,1136,0,5784,2956,58,non_vegetarian,19,620,39,140,4,11883.6
9907,2810,0,4151,1833,52,vegetarian,36,133,84,183,1,7308.444
4777,8667,7,4438,991,18,vegan,63,327,47,87,2,7592.487999999999
15338,9518,9,5573,2146,97,non_vegetarian,90,684,50,75,3,13214.695000000002
2491,1019,7,4491,2364,88,vegan,85,498,56,58,4,8150.026000000001
15328,5237,1,1706,2170,94,vegan,4,912,70,82,1,8482.710000000001
14599,1283,6,4064,2846,40,non_vegetarian,33,823,36,147,5,13234.246000000001
19508,659,7,1753,1616,80,vegetarian,38,683,86,154,5,9776.966
3051,2010,7,1587,1518,46,vegetarian,66,669,74,141,3,7129.281999999999
15979,8590,9,2334,2504,93,non_vegetarian,80,319,73,78,3,13280.024
16388,1733,6,2847,521,53,vegan,61,470,84,67,4,7040.054999999999
876,2125,4,4934,2567,54,non_vegetarian,87,886,54,152,3,10632.878
4142,2171,0,4926,916,94,vegetarian,23,860,40,55,1,4156.030000000001
